Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI
Thairo Estrada,SF,2B,28,120,495,63,134,26,2,14,49
Ke'Bryan Hayes,PIT,3B,27,124,494,65,134,31,7,15,61
Tim Anderson,CWS,SS,30,123,493,52,121,18,2,1,25
Isaac Paredes,TB,3B,25,143,492,71,123,24,0,31,98
J.T. Realmuto,PHI,C,33,135,489,70,123,28,5,20,63
Orlando Arcia,ATL,SS,29,139,488,66,129,25,0,17,65
TJ Friedl,CIN,OF,28,138,488,73,136,22,8,18,66
Elias Diaz,COL,C,33,141,486,48,130,25,1,14,72
Brandon Drury,LAA,2B,31,125,485,61,127,30,3,26,83
James Outman,LAD,OF,27,151,483,86,120,16,3,23,70
Max Muncy,LAD,3B,33,135,482,95,102,17,1,36,105
J.D. Davis,SF,3B,31,144,480,61,119,23,1,18,69
Tommy Edman,STL,2B,29,137,479,69,119,25,4,13,47
Matt Vierling,DET,OF,27,134,479,63,125,21,5,10,44
Josh Jung,TEX,3B,26,122,478,75,127,25,1,23,70
Eddie Rosario,ATL,OF,32,142,478,64,122,24,3,21,74
Corey Seager,TEX,SS,30,119,477,88,156,42,0,33,96
Trent Grisham,SD,OF,27,153,469,67,93,31,1,13,50
Mauricio Dubon,HOU,OF,29,132,467,76,130,26,3,10,46
Josh Lowe,TB,OF,26,135,466,71,136,33,2,20,83
Tyler Stephenson,CIN,C,27,142,465,59,113,20,2,13,56
Will Smith,LAD,C,29,126,464,80,121,21,2,19,76
Zach McKinstry,DET,2B,29,148,464,60,107,21,4,9,35
Maikel Garcia,KC,3B,24,123,464,59,126,20,4,4,50
Brent Rooker,OAK,OF,29,137,463,61,114,20,1,30,69
Myles Straw,CLE,OF,29,147,462,52,110,18,3,1,29
Hunter Renfroe,LAA,OF,32,126,459,56,111,31,0,19,56
Jake Cronenworth,SD,2B,30,127,458,54,105,24,7,10,48
Jonah Heim,TEX,C,28,131,457,61,118,28,0,18,95
Bryce Harper,PHI,1B,31,126,457,84,134,29,1,21,72
Eloy Jimenez,CWS,DH,27,120,456,50,124,23,0,18,64
Jonathan India,CIN,2B,27,119,454,78,111,23,0,17,61
Josh Naylor,CLE,1B,26,121,452,52,139,31,0,17,97
Esteury Ruiz,OAK,OF,25,132,449,47,114,24,1,5,47
Shea Langeliers,OAK,C,26,135,448,52,92,19,4,22,63
Luis Garcia,WAS,2B,24,122,447,61,119,18,4,9,50
Jack Suwinski,PIT,OF,25,144,447,63,100,21,2,26,74
Wander Franco,TB,SS,23,112,442,65,124,23,6,17,58
Max Kepler,MIN,OF,31,130,438,72,114,22,2,24,66
J.D. Martinez,LAD,DH,36,113,432,61,117,27,2,33,103
Will Brennan,CLE,OF,26,138,432,41,115,24,0,5,41
LaMonte Wade,SF,OF,30,135,429,64,110,14,2,17,45
Triston Casas,BOS,1B,24,132,429,66,113,21,2,24,65
Willson Contreras,STL,C,32,125,428,55,113,27,0,20,67
Michael Massey,KC,2B,26,129,428,42,98,18,1,15,55
Lars Nootbaar,STL,OF,26,117,426,74,111,23,1,14,46
Ryan Mountcastle,BAL,1B,27,115,423,64,114,21,1,18,68
Jordan Walker,STL,OF,22,117,420,51,116,19,2,16,51
Kerry Carpenter,DET,OF,26,118,418,57,116,17,2,20,64
Jurickson Profar,COL,OF,31,111,415,51,98,25,2,8,39
Connor Joe,PIT,OF,31,133,413,63,102,31,4,11,42
Adam Frazier,BAL,2B,32,141,412,59,99,21,2,13,60
Yordan Alvarez,HOU,OF,26,114,410,77,120,24,1,31,97
Geraldo Perdomo,ARI,SS,24,144,407,71,100,20,4,6,47
Nolan Gorman,STL,2B,24,119,406,59,96,17,0,27,76
Ryan Noda,OAK,1B,28,128,406,63,93,22,1,16,54
Michael Conforto,SF,OF,31,125,406,58,97,14,0,15,58
Ezequiel Duran,TEX,SS,25,122,406,55,112,22,2,14,46
Wilmer Flores,SF,1B,32,126,405,51,115,22,0,23,60
Brice Turang,MIL,2B,24,137,404,46,88,9,3,6,34
Brandon Marsh,PHI,OF,26,133,404,58,112,25,6,12,60
Cedric Mullins,BAL,OF,29,116,404,51,94,23,3,15,74
Chas McCormick,HOU,OF,29,115,403,59,110,17,2,22,70
Harold Ramirez,TB,DH,29,122,400,58,125,19,2,12,68
Brenton Doyle,COL,OF,26,126,399,48,81,16,5,10,48
